FFDate,Mkt-RF,SMB,HML,RF
197410,16.05,-3.40,-9.80,0.51
197411,-4.64,-1.21,-0.17,0.54
197412,-3.40,-4.83,0.06,0.70
197501,13.58,10.96,8.24,0.58
197502,5.41,0.18,-4.44,0.43
197503,2.61,3.80,2.50,0.41
197504,4.21,-0.51,-1.24,0.44
197505,5.07,3.87,-4.15,0.44
197506,4.74,0.75,1.34,0.41
197507,-6.52,2.67,1.65,0.48
197508,-2.84,-3.23,-0.86,0.48
197509,-4.33,-0.06,0.40,0.53
197510,5.03,-4.04,0.30,0.56
197511,2.71,-1.21,2.03,0.41
197512,-1.58,-0.79,1.76,0.48
197601,12.13,4.80,8.57,0.47
197602,0.39,7.00,5.81,0.34
197603,2.28,-1.16,-0.11,0.40
197604,-1.46,-0.05,-0.07,0.42
197605,-1.31,-1.26,-1.32,0.37
197606,4.02,-1.34,0.78,0.43
197607,-1.09,0.28,1.74,0.47
197608,-0.56,-1.97,0.83,0.42
197609,2.01,0.01,-0.32,0.44
197610,-2.45,0.16,-0.18,0.41
197611,0.14,2.35,1.49,0.40
197612,5.76,2.98,2.27,0.40
197701,-3.99,4.81,4.29,0.36
197702,-1.93,1.06,0.45,0.35
197703,-1.30,1.03,1.09,0.38
197704,0.12,-0.10,3.44,0.38
197705,-1.45,1.25,0.89,0.37
197706,4.74,2.18,-0.62,0.40
197707,-1.70,2.12,-0.59,0.42
197708,-1.78,1.54,-2.74,0.44
197709,-0.27,1.44,-0.51,0.43
197710,-4.42,1.29,1.76,0.49
197711,4.04,3.69,0.35,0.50
197712,0.33,1.37,-0.32,0.49
197801,-6.01,2.22,3.30,0.49
197802,-1.39,3.61,0.87,0.46
197803,2.87,3.41,1.23,0.53
197804,7.74,0.37,-3.47,0.54
197805,1.81,4.63,-0.59,0.51
197806,-1.62,1.74,0.56,0.54
197807,5.11,0.29,-1.14,0.56
197808,3.69,5.08,-0.47,0.55
197809,-1.31,-0.41,1.89,0.62
197810,-11.78,-9.95,1.37,0.68
197811,2.68,3.10,-2.19,0.70
197812,0.99,1.27,-2.12,0.78
197901,4.18,3.66,2.17,0.77
197902,-3.41,0.45,1.15,0.73
197903,5.75,3.20,-0.62,0.81
197904,0.05,2.19,1.08,0.80
197905,-2.18,0.12,1.29,0.82
197906,3.88,1.14,1.45,0.81
197907,0.73,1.29,1.79,0.77
197908,5.70,2.03,-1.58,0.77
197909,-0.69,-0.27,-0.90,0.83
197910,-8.14,-3.30,-1.88,0.87
197911,5.37,2.79,-3.25,0.99
197912,1.87,4.13,-2.03,0.95
198001,5.76,1.69,1.76,0.80
198002,-0.79,-1.80,0.59,0.89
198003,-13.23,-6.64,-1.03,1.21
198004,3.97,0.95,1.06,1.26
198005,5.20,2.08,0.34,0.81
198006,3.16,1.71,-0.87,0.61
198007,6.41,4.29,-6.22,0.53
198008,1.72,3.94,-2.64,0.64
198009,2.20,0.92,-4.65,0.75
198010,1.06,2.53,-2.70,0.95
198011,9.53,-3.37,-8.44,0.96
198012,-4.75,-0.32,2.66,1.31
198101,-5.05,2.96,6.82,1.04
198102,0.48,-0.36,1.02,1.07
198103,3.41,3.56,0.71,1.21
198104,-2.21,4.41,2.26,1.08
198105,0.21,2.02,-0.39,1.15
198106,-2.37,-0.86,5.09,1.35
198107,-1.55,-2.14,-0.57,1.24
198108,-6.91,-1.95,4.83,1.28
198109,-7.62,-2.66,5.20,1.24
198110,4.81,2.19,-4.16,1.21
198111,3.52,-0.99,1.86,1.07
198112,-3.68,1.20,0.75,0.87
198201,-3.42,-1.22,3.11,0.80
198202,-6.03,0.47,6.00,0.92
198203,-1.99,-0.23,3.91,0.98
198204,3.20,1.52,-2.79,1.13
198205,-3.88,0.48,1.84,1.06
198206,-3.35,-0.38,1.52,0.96
198207,-3.10,0.88,0.19,1.05
198208,11.14,-4.15,1.13,0.76
198209,1.17,2.94,0.34,0.51
198210,11.27,2.33,-3.64,0.59
198211,4.56,4.79,-1.93,0.63
198212,0.78,-0.17,0.05,0.67
198301,3.50,2.69,-0.88,0.69
198302,2.40,3.24,0.74,0.62
198303,2.84,1.80,2.06,0.63
198304,6.71,0.47,0.56,0.71
