
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199301  -2.31   3.16  -4.51  -0.49  -3.92  -0.74  -5.22   3.41  -5.23
199302  -0.96   2.12  -2.74   1.28  -2.38   2.42  -4.16   0.75  -2.77
199303   6.25   9.22   3.94   7.86   3.52   9.54   2.54   7.34   2.78
199304   2.64   4.74   1.70   1.83   1.44   1.70   2.73   5.37   3.04
199305   0.53   2.32  -0.03   0.25   2.16   1.50   0.53   0.93  -0.03
199306  -2.18  -2.18  -3.33  -3.70  -3.14  -2.24  -5.41  -1.44  -3.99
199307   1.22   2.62   0.18   3.29   0.60   2.25   1.00   3.31  -0.19
199308   6.35   5.31   7.78   7.28   7.22   5.52   7.62   5.19   8.46
199309  -1.27   0.53  -3.41  -0.56  -0.62   1.35  -2.34   0.51  -3.44
199310   3.24   3.16   3.15   4.41   4.01   3.66   2.63   3.73   2.57
199311   0.38   0.89   0.28  -0.95   0.64   1.10   1.88   0.75   0.67
199312   7.25   7.75   5.52   8.85   7.61   6.76   7.48   6.48   7.59
199401   5.40   7.66   4.72   4.14   7.81   6.56   4.95   6.43   5.36
199402  -5.62  -5.09  -5.20  -6.28  -6.58  -6.02  -3.47  -7.03  -5.27
199403  -6.41  -5.22  -7.04  -6.89  -7.20  -4.43  -6.48  -4.92  -7.81
199404   3.88   5.09   4.74   1.19   5.35   2.20   4.16   1.50   4.11
199405  -5.48  -5.84  -6.74  -4.09  -7.60  -3.31  -7.16  -5.98  -6.01
199406   0.55   0.18   0.12   1.98  -0.50   1.85  -0.32   1.19  -0.73
199407   5.27   6.42   5.54   6.70   6.67   5.82   5.22   5.78   6.79
199408   6.53   6.01   6.27   8.32   5.56   6.88   6.72   5.58   4.99
199409  -3.95  -3.00  -5.02  -4.30  -3.04  -3.87  -3.08  -3.49  -3.37
199410   5.89   5.04   5.34   5.72   5.59   7.75   4.41   5.79   5.87
199411  -4.98  -5.63  -4.31  -4.71  -4.37  -5.56  -3.75  -4.89  -5.20
199412   0.16  -0.15   0.25   1.76  -1.58   1.59  -0.25  -0.02  -1.22
199501  -0.82  -1.67  -0.43  -1.47  -1.69   0.76  -1.46   0.30  -1.37
199502   0.83   1.50   1.79   2.02  -0.59  -0.01   0.52   0.72  -0.65
199503   5.52   5.83   5.85   4.46   6.55   5.16   7.90   6.41   6.44
199504   2.93   2.92   2.83   3.92   2.72   3.09   2.30   2.48   2.51
199505   1.97   3.40   1.28   3.14   2.01   1.61   0.87   2.09   1.19
199506   0.40  -1.28   2.98  -1.54   1.25  -0.19   2.86  -1.23   1.66
199507   5.65   6.56   4.31   7.14   6.43   4.91   5.40   3.56   6.74
199508  -1.94  -2.70  -1.06  -0.84  -2.21  -0.62  -1.37  -2.93  -1.23
