
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199106  -7.51  -8.54  -7.41  -6.59  -7.40  -7.33  -7.16  -7.97  -7.58
199107   7.11   7.04   6.98   6.43   6.40   6.48   6.92   6.45   6.37
199108   1.88   2.98   1.55   2.44   0.99   2.79   1.91   2.42   1.47
199109   3.49   3.78   3.80   3.40   3.58   3.22   4.33   4.21   3.55
199110  -1.86  -2.45  -0.99  -2.82  -0.94  -2.22  -0.53  -2.54  -0.40
199111  -1.46  -4.53   0.01  -3.59   0.17  -3.08  -0.93  -3.75  -0.01
199112   7.89   5.48   9.36   5.57   9.33   5.01  10.09   6.64   9.29
199201  -0.06   1.61   0.39   0.83  -0.76   0.06   0.38   0.07   0.26
199202   0.57   0.26   0.80   1.25   0.53   0.84   1.33   0.05   0.85
199203  -3.32  -3.58  -3.09  -3.52  -3.52  -3.21  -2.80  -3.60  -3.49
199204   6.07   9.11   4.50   7.00   4.27   7.82   4.19   8.15   4.31
199205   5.23   5.81   4.95   5.82   5.22   6.47   4.54   5.57   5.14
199206  -1.23  -2.78  -0.25  -1.19  -1.61  -4.04  -0.80  -4.13  -0.35
199207  -3.85  -6.44  -3.50  -4.43  -2.74  -4.40  -2.64  -4.36  -3.67
199208   0.10  -1.44   0.47   0.37   0.35   0.70   0.33  -0.42   0.30
199209  -1.50  -1.16  -0.95  -4.08  -0.47  -4.45  -1.78  -1.08  -2.40
199210  -7.37  -6.52  -6.79  -6.91  -6.97  -8.80  -7.35  -6.41  -7.57
199211   0.07  -0.32  -0.23   0.35  -0.95  -0.25  -0.82  -0.70  -0.36
199212   2.07   3.02   1.36   2.48   1.62   2.45   0.92   3.08   1.05
199301   0.40   5.91  -1.19   3.26  -0.82   2.58  -2.07   4.26  -1.30
199302   1.42   2.33   0.54   2.74   0.42   2.58  -0.79   2.48   0.30
199303   5.71   8.50   4.79   7.34   4.04   7.51   4.39   6.68   4.08
199304   1.41   2.22   1.17   0.98   1.10   1.61   1.26   2.81   1.29
199305   0.96   1.71   0.58   0.70   1.84   1.36   1.23   1.22   0.79
199306  -2.78  -2.01  -4.06  -3.00  -3.63  -1.40  -4.61  -1.51  -4.11
199307   1.58   2.75   0.10   4.02   0.87   4.13   0.38   3.26  -0.08
199308   8.50   8.96   8.97   9.01   8.56   8.60   8.37   7.89   9.81
199309  -0.35   0.17  -0.91  -0.40   0.56   0.88  -0.85   0.11  -1.06
199310   3.18   2.19   3.62   3.26   3.58   2.97   2.54   3.52   3.23
199311  -1.39  -0.28  -1.43  -2.34  -0.93  -1.42  -0.67  -1.31  -1.04
199312   7.72   9.17   6.36   9.21   7.11   9.02   7.69   7.36   7.62
199401   5.42   7.93   4.99   4.12   6.13   7.64   6.80   6.04   6.15
199402  -4.05  -3.21  -4.36  -4.48  -4.22  -2.89  -2.95  -4.98  -3.96
199403  -2.58  -0.88  -2.63  -2.99  -3.23   0.12  -1.86  -2.45  -2.69
199404   4.15   6.08   3.79   2.72   5.05   5.16   3.89   3.88   4.03
199405  -4.37  -4.05  -4.48  -3.68  -5.24  -4.02  -4.50  -4.21  -4.62
199406  -0.51  -0.42  -0.87  -0.07  -1.03   0.27  -0.79  -0.07  -0.65
199407   4.94   5.37   4.91   5.66   5.98   6.26   4.69   5.09   4.95
199408   3.39   3.09   3.96   3.45   2.65   4.13   4.57   2.61   3.07
